,item_brand,item_name,item_price,item_link
0,UGG®,Women's Classic Mini II Genuine Shearling-Lined Boots,$99.95,https://www.macys.com/shop/product/ugg-womens-classic-mini-ii-genuine-shearling-lined-boots?ID=10491837&CategoryID=56233
1,UGG®,Women's Classic II Genuine Shearling Lined Short Boots,$109.95,https://www.macys.com/shop/product/ugg-womens-classic-ii-genuine-shearling-lined-short-boots?ID=10491819&CategoryID=56233
2,MICHAEL Michael Kors,Tavie Rain Booties,$62.30,https://www.macys.com/shop/product/michael-michael-kors-tavie-rain-booties?ID=10491614&CategoryID=56233
3,MICHAEL Michael Kors,"Olympia ""Dad"" Sneakers",$112.00,https://www.macys.com/shop/product/michael-michael-kors-olympia-dad-sneakers?ID=10491527&CategoryID=56233
4,Sorel,Women's Joan of Arctic Wedge II Waterproof Chelsea Booties,$149.99,https://www.macys.com/shop/product/sorel-womens-joan-of-arctic-wedge-ii-waterproof-chelsea-booties?ID=10501120&CategoryID=56233
5,Jessica Simpson,Raxen Platform Booties,$69.99,https://www.macys.com/shop/product/jessica-simpson-raxen-platform-booties?ID=10475209&CategoryID=56233
6,American Rag,"Ellie Flats, Created for Macy's",$20.03,https://www.macys.com/shop/product/american-rag-ellie-flats-created-for-macys?ID=10423272&CategoryID=56233
7,Style & Co,"Wileyy Ankle Booties, Created for Macy's",$34.63,https://www.macys.com/shop/product/style-co-wileyy-ankle-booties-created-for-macys?ID=10423204&CategoryID=56233
8,White Mountain,Destiny Booties,$37.13,https://www.macys.com/shop/product/white-mountain-destiny-booties?ID=10479377&CategoryID=56233
9,Kenneth Cole New York,Women's Levon Tall Riding Boots,$179.99,https://www.macys.com/shop/product/kenneth-cole-new-york-womens-levon-tall-riding-boots?ID=10442261&CategoryID=56233
10,MICHAEL Michael Kors,Allie Trainer Sneakers,$58.73,https://www.macys.com/shop/product/michael-michael-kors-allie-trainer-sneakers?ID=10456308&CategoryID=56233
11,MICHAEL Michael Kors,Bastian Lace-Up Booties,$105.73,https://www.macys.com/shop/product/michael-michael-kors-bastian-lace-up-booties?ID=10484684&CategoryID=56233
12,INC International Concepts,"INC Sammee Slip-On Sneakers, Created for Macy's",$43.93,https://www.macys.com/shop/product/inc-sammee-slip-on-sneakers-created-for-macys?ID=10423517&CategoryID=56233
13,MICHAEL Michael Kors,Dylyn Tall Boots,$105.73,https://www.macys.com/shop/product/michael-michael-kors-dylyn-tall-boots?ID=10484633&CategoryID=56233
14,Marc Fisher,Revela Square-Toe Boots,$86.93,https://www.macys.com/shop/product/marc-fisher-revela-square-toe-boots?ID=10125855&CategoryID=56233
