,item_brand,item_name,item_price,item_link
0,Valentino Garavani,Rockstud Slingback 100mm Pump,$995,https://www.neimanmarcus.com/p/valentino-garavani-rockstud-slingback-100mm-pump-prod194670317?childItemId=NMS17RL_&navpath=cat000000_cat000141_cat47190746&page=0&position=0&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
1,Stuart Weitzman,Ernestine Stretch Leather 45mm Booties,$575,https://www.neimanmarcus.com/p/stuart-weitzman-ernestine-stretch-leather-45mm-booties-prod226360411?childItemId=NMX4SYU_&navpath=cat000000_cat000141_cat47190746&page=0&position=1&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
2,Gucci,Screener Low-Top Leather Sneakers,$750,https://www.neimanmarcus.com/p/gucci-screener-low-top-leather-sneakers-prod219550108?childItemId=NMX4LDH_&navpath=cat000000_cat000141_cat47190746&page=0&position=2&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
3,UGG,Redwood Waterproof Chunky Hiker Booties,$126,https://www.neimanmarcus.com/p/ugg-redwood-waterproof-chunky-hiker-booties-prod223240422?childItemId=NMX4S8J_&navpath=cat000000_cat000141_cat47190746&page=0&position=3&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
4,Vince,Westport Snake-Print Sandals,$100,https://www.neimanmarcus.com/p/vince-westport-snake-print-sandals-prod221560049?childItemId=NMX4PFZ_&navpath=cat000000_cat000141_cat47190746&page=0&position=4&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
5,Gucci,Trip GG Wool Lace-Up Booties,"$1,190",https://www.neimanmarcus.com/p/gucci-trip-gg-wool-lace-up-booties-prod219550176?childItemId=NMX4LDL_&navpath=cat000000_cat000141_cat47190746&page=0&position=5&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
6,Christian Louboutin,Planet Chic Embellished Red Sole Pumps,$795,https://www.neimanmarcus.com/p/christian-louboutin-planet-chic-embellished-red-sole-pumps-prod224020427?childItemId=NMX4TEV_&navpath=cat000000_cat000141_cat47190746&page=0&position=6&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
7,Puma,Nova Unexpected Mixes Sneakers,$28,https://www.neimanmarcus.com/p/puma-nova-unexpected-mixes-sneakers-prod224020451?childItemId=NMX4TEK_&navpath=cat000000_cat000141_cat47190746&page=0&position=7&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
8,Taryn Rose,Bonnie Weatherproof Leopard-Print Athleisure Flats,$29,https://www.neimanmarcus.com/p/taryn-rose-bonnie-weatherproof-leopard-print-athleisure-flats-prod229540006?childItemId=NMX51KH_&navpath=cat000000_cat000141_cat47190746&page=0&position=8&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
9,Aquatalia,Marilisa Water-Resistant Shiny Leather Booties,$209,https://www.neimanmarcus.com/p/aquatalia-marilisa-water-resistant-shiny-leather-booties-prod212210186?childItemId=NMX489T_&navpath=cat000000_cat000141_cat47190746&page=0&position=9&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
