,item_name,item_price,item_link
0,UGG® Classic Mini Fluff Genuine Shearling Bootie (Women),$89.90,https://shop.nordstrom.com/s/ugg-classic-mini-fluff-genuine-shearling-bootie-women/5324753?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=chestnut
1,Vince Camuto Gigietta Bootie (Women),$99.90,https://shop.nordstrom.com/s/vince-camuto-gigietta-bootie-women/5244728?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=foxy%20suede
2,UGG® Aureo II Waterproof Bootie (Women),$83.90,https://shop.nordstrom.com/s/ugg-aureo-ii-waterproof-bootie-women/5319359?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=pinewood%20nubuck
3,UGG® Cozy Knit Genuine Shearling Slipper (Women),$79.95,https://shop.nordstrom.com/s/ugg-cozy-knit-genuine-shearling-slipper-women/5025430?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=charcoal
4,Hunter Original Tour Gloss Packable Rain Boot (Women),$75.00 – $99.90,https://shop.nordstrom.com/s/hunter-original-tour-gloss-packable-rain-boot-women/3924609?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=dark%20slate
5,UGG® Dakota Water Resistant Genuine Shearling Pompom Slipper (Women),$69.90,https://shop.nordstrom.com/s/ugg-dakota-water-resistant-genuine-shearling-pompom-slipper-women/4631936?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=chestnut%20suede
6,adidas Swift Run Sneaker (Women),$56.94,https://shop.nordstrom.com/s/adidas-swift-run-sneaker-women/5533770?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=core%20black%2F%20core%20black%2F%20white
7,UGG® Fluff Yeah Genuine Shearling Slide (Women),$99.95,https://shop.nordstrom.com/s/ugg-fluff-yeah-genuine-shearling-slide-women/5011191?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=ribbon%20red
8,Topshop Cuba Platform Sneaker (Women),$26.98 – $32.98,https://shop.nordstrom.com/s/topshop-cuba-platform-sneaker-women/5545102?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=white%20multi
9,adidas Swift Run Sneaker (Women),$85.00,https://shop.nordstrom.com/s/adidas-swift-run-sneaker-women/4648219?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=pink%20spirit%2F%20maroon%2F%20white
10,Blondo Valli 2.0 Waterproof Bootie (Women) (Nordstrom Exclusive),$99.90,https://shop.nordstrom.com/s/blondo-valli-2-0-waterproof-bootie-women-nordstrom-exclusive/5294247?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black%20nubuck
11,Sam Edelman 'Petty' Chelsea Boot (Women),$77.90,https://shop.nordstrom.com/s/sam-edelman-petty-chelsea-boot-women/3212698?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=putty%20suede
12,Marc Fisher LTD Izzie Genuine Shearling Lace-Up Boot (Women),$249.95,https://shop.nordstrom.com/s/marc-fisher-ltd-izzie-genuine-shearling-lace-up-boot-women/4737980?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=brown%20multi%20suede
13,UGG® Classic II Genuine Shearling Lined Short Boot (Women),$159.95,https://shop.nordstrom.com/s/ugg-classic-ii-genuine-shearling-lined-short-boot-women/4367020?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=pink%20crystal%20suede
14,UGG® Ansley Water Resistant Slipper (Women),$99.95,https://shop.nordstrom.com/s/ugg-ansley-water-resistant-slipper-women/3164992?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=ribbon%20red%20suede
15,UGG® Classic Mini Sparkle Graffiti Boot (Women),$89.96,https://shop.nordstrom.com/s/ugg-classic-mini-sparkle-graffiti-boot-women/5351350?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black%20suede
16,UGG® Classic Mini II Genuine Shearling Lined Boot (Women),$99.95,https://shop.nordstrom.com/s/ugg-classic-mini-ii-genuine-shearling-lined-boot-women/5533976?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=pink%20crystal
17,Nike Epic React Flyknit 2 Running Shoe (Women),$99.90,https://shop.nordstrom.com/s/nike-epic-react-flyknit-2-running-shoe-women/5514922?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=pink%20blast%2F%20black%2F%20white
18,Lucky Brand Yimina Wedge Bootie (Women),$59.90,https://shop.nordstrom.com/s/lucky-brand-yimina-wedge-bootie-women/5483298?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=soil%20suede
19,UGG® Mini Bailey Bow II Genuine Shearling Bootie (Women),$99.95,https://shop.nordstrom.com/s/ugg-mini-bailey-bow-ii-genuine-shearling-bootie-women/5533987?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=nightshade
20,Madewell The Regan Boot (Women),$89.32,https://shop.nordstrom.com/s/madewell-the-regan-boot-women/5549699?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=true%20black%20leather
21,UGG® Karel Boot (Women),$99.90,https://shop.nordstrom.com/s/ugg-karel-boot-women/4631266?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=chestnut%20suede
22,UGG® Classic Mini II Genuine Shearling Lined Boot (Women),$139.95,https://shop.nordstrom.com/s/ugg-classic-mini-ii-genuine-shearling-lined-boot-women/4366777?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=bronzer%20suede
23,Børn Uchee Knee High Boot (Regular & Wide Calf),$159.90,https://shop.nordstrom.com/s/born-uchee-knee-high-boot-regular-wide-calf/5243853?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black%20distressed%20leather
24,Tory Burch Miller Flip Flop (Women),$132.66,https://shop.nordstrom.com/s/tory-burch-miller-flip-flop-women/5481288?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=spark%20gold
25,UGG® Melrose Genuine Shearling Bootie (Women),$99.90,https://shop.nordstrom.com/s/ugg-melrose-genuine-shearling-bootie-women/5514924?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=chestnut
26,Nike Air Force 1 Shadow Sneaker (Women),$110.00,https://shop.nordstrom.com/s/nike-air-force-1-shadow-sneaker-women/5274385?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=white%2F%20white%2F%20white
27,Halogen® x Atlantic-Pacific Gabriela Platform Oxford (Women) (Nordstrom Exclusive),$65.96,https://shop.nordstrom.com/s/halogen-x-atlantic-pacific-gabriela-platform-oxford-women-nordstrom-exclusive/5328449?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=red%20chili%20patent%20leather
28,UGG® Scuffette II Slipper (Women),$84.95,https://shop.nordstrom.com/s/ugg-scuffette-ii-slipper-women/2976610?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=chestnut
29,Madewell Sidewalk Low Top Sneaker (Women),$70.40,https://shop.nordstrom.com/s/madewell-sidewalk-low-top-sneaker-women/5521505?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=true%20black%20silver
30,Cole Haan GrandExpløre Genuine Shearling Trim Waterproof Hiker Boot (Women),$200.00,https://shop.nordstrom.com/s/cole-haan-grandexplore-genuine-shearling-trim-waterproof-hiker-boot-women/4774722?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=pumice%20stone%20nubuck
31,MICHAEL Michael Kors Bromley Stretch Back Riding Boot (Women),$119.25,https://shop.nordstrom.com/s/michael-michael-kors-bromley-stretch-back-riding-boot-women/5525363?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black
32,UGG® Neumel Boot (Women),$129.95,https://shop.nordstrom.com/s/ugg-neumel-boot-women/5241059?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=la%20sunset%20suede
33,Sperry Saltwater Rain Boot (Women),$79.90,https://shop.nordstrom.com/s/sperry-saltwater-rain-boot-women/5501937?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=ivory%20faux%20shearling
34,UGG® Classic Cosmos sequin Short Boot (Women),$113.90,https://shop.nordstrom.com/s/ugg-classic-cosmos-sequin-short-boot-women/5319354?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=silver%2F%20gold
35,BP. Sophie Criss Cross Plush Bedroom Slipper (Women),$14.96,https://shop.nordstrom.com/s/bp-sophie-criss-cross-plush-bedroom-slipper-women/5529533?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=grey%20faux%20fur
36,Tory Burch Miller Flip Flop (Women),$198.00,https://shop.nordstrom.com/s/tory-burch-miller-flip-flop-women/2963432?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=sea%20shell%20pink
37,SOREL Out N About Plus Waterproof Bootie (Women),$84.00,https://shop.nordstrom.com/s/sorel-out-n-about-plus-waterproof-bootie-women/4914312?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=elk
38,UGG® Genuine Shearling Slipper (Women),$119.95,https://shop.nordstrom.com/s/ugg-genuine-shearling-slipper-women/2836854?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=feather
39,UGG® Dakota Water Resistant Slipper (Women),$69.95,https://shop.nordstrom.com/s/ugg-dakota-water-resistant-slipper-women/5533921?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=nightshade%20suede
40,Comme des Garçons PLAY x Converse Chuck Taylor® Hidden Heart Low Top Sneaker (Women),$135.00,https://shop.nordstrom.com/s/comme-des-garcons-play-x-converse-chuck-taylor-hidden-heart-low-top-sneaker-women/4650436?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=beige
41,Vince Camuto Sestrind Bootie (Women),$83.96 – $89.37,https://shop.nordstrom.com/s/vince-camuto-sestrind-bootie-women/5391680?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=ribbon%20red%20suede
42,adidas UltraBoost 19 Running Shoe (Women),$120.60,https://shop.nordstrom.com/s/adidas-ultraboost-19-running-shoe-women/5514983?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=shock%20pink%2F%20black%2F%20white
43,Vans Classic Slip-On Sneaker (Women),$49.95,https://shop.nordstrom.com/s/vans-classic-slip-on-sneaker-women/2880146?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=true%20white
44,Dr. Scholl's No Worries Slip-On Sneaker (Women),$39.95,https://shop.nordstrom.com/s/dr-scholls-no-worries-slip-on-sneaker-women/5515393?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black%20perforated%20fabric
45,BP Tae Bootie (Women),$47.96,https://shop.nordstrom.com/s/bp-tae-bootie-women/5527330?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=taupe%20suede
46,Blondo Perla Waterproof Bootie (Women),$89.90,https://shop.nordstrom.com/s/blondo-perla-waterproof-bootie-women/5294244?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=dark%20grey%20suede
47,UGG® Polk Boot (Women),$101.90,https://shop.nordstrom.com/s/ugg-polk-boot-women/5324744?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black%20leather
48,BP. Luke Over The Knee Boot (Women),$59.96,https://shop.nordstrom.com/s/bp-luke-over-the-knee-boot-women/5381569?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black%20faux%20suede
49,Christian Louboutin So Kate Pointy Toe Pump (Women),$695.00,https://shop.nordstrom.com/s/christian-louboutin-so-kate-pointy-toe-pump-women/3908037?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black
50,UGG® Classic Galaxy Bling Mini Bootie (Women),$107.96,https://shop.nordstrom.com/s/ugg-classic-galaxy-bling-mini-bootie-women/5351301?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=charcoal%20suede
51,Steve Madden Lead Bootie (Women),$69.90 – $77.96,https://shop.nordstrom.com/s/steve-madden-lead-bootie-women/5407473?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black%20croco
52,Steve Madden Domain Thigh High Boot (Women),$67.17,https://shop.nordstrom.com/s/steve-madden-domain-thigh-high-boot-women/5437236?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=natural%20snake%20print
53,Steve Madden Jacey Over the Knee Boot (Women),$69.96,https://shop.nordstrom.com/s/steve-madden-jacey-over-the-knee-boot-women/5403528?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black
54,Tory Burch Metal Miller Flip Flop (Women),$149.90,https://shop.nordstrom.com/s/tory-burch-metal-miller-flip-flop-women/5481296?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=perfect%20navy%20%2F%20silver
55,Vince Havana Notch Bootie (Women),$157.98,https://shop.nordstrom.com/s/vince-havana-notch-bootie-women/5264835?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black%20leather
56,Linea Paolo Amanda Slip-On Wedge Bootie (Women),$69.90,https://shop.nordstrom.com/s/linea-paolo-amanda-slip-on-wedge-bootie-women/5206901?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=rock%20suede
57,Jeffrey Campbell Cloudy Waterproof Chelsea Rain Boot (Women),$48.71 – $59.95,https://shop.nordstrom.com/s/jeffrey-campbell-cloudy-waterproof-chelsea-rain-boot-women/4459923?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black%20matte%20black
58,Dr. Martens 'Jadon' Boot,$179.95,https://shop.nordstrom.com/s/dr-martens-jadon-boot/3469303?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=white%20smooth%20leather
59,UGG® Kriston Waterproof Bootie (Women),$129.90,https://shop.nordstrom.com/s/ugg-kriston-waterproof-bootie-women/5278046?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=mole%20leather
60,Hunter Original Play Waterproof Rain Bootie (Women),$56.98,https://shop.nordstrom.com/s/hunter-original-play-waterproof-rain-bootie-women/5525889?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=wader%20yellow
61,Keds® x Rifle Paper Co. Embellished Triple Decker Slip-On Sneaker (Women),$110.00,https://shop.nordstrom.com/s/keds-x-rifle-paper-co-embellished-triple-decker-slip-on-sneaker-women/5235452?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black%20canvas
62,Sam Edelman Hiltin Knee High Boot (Women),$112.98 – $124.98,https://shop.nordstrom.com/s/sam-edelman-hiltin-knee-high-boot-women/5247481?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black%20leather
63,Linea Paolo Felicia Wedge Bootie (Women),$119.95,https://shop.nordstrom.com/s/linea-paolo-felicia-wedge-bootie-women/4413353?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black%20perf%20nappa
64,UGG® Classic Mini Street Graffiti Boot (Women),$89.96,https://shop.nordstrom.com/s/ugg-classic-mini-street-graffiti-boot-women/5399540?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=slate%20suede
65,Nike React Element 87 Sneaker (Unisex),$95.98,https://shop.nordstrom.com/s/nike-react-element-87-sneaker-unisex/5344120?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=dusty%20peach%2F%20atmosphere%20grey
66,Nike Epic React Flyknit 2 Running Shoe (Women),$99.90,https://shop.nordstrom.com/s/nike-epic-react-flyknit-2-running-shoe-women/5530594?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black%2F%20black%2F%20white
67,Nike Air Force 1 Sage Low Platform Sneaker (Women),$100.00,https://shop.nordstrom.com/s/nike-air-force-1-sage-low-platform-sneaker-women/4956376?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=bio%20beige%2F%20black%2F%20white
68,UGG® Bailey Bow II Genuine Shearling Boot (Women),$139.95,https://shop.nordstrom.com/s/ugg-bailey-bow-ii-genuine-shearling-boot-women/5533984?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=pink%20crystal
69,UGG® Grove Genuine Shearling Trim Slipper (Women),$69.90,https://shop.nordstrom.com/s/ugg-grove-genuine-shearling-trim-slipper-women/5319375?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=chestnut%20suede
70,Birdies Phoebe Mule (Women),$120.00,https://shop.nordstrom.com/s/birdies-phoebe-mule-women/5343794?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=cheetah%20calf%20hair
71,adidas NMD R1 Athletic Shoe (Women),$130.00,https://shop.nordstrom.com/s/adidas-nmd-r1-athletic-shoe-women/4376938?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=core%20black%2F%20core%20black
