,item_name,item_price,item_color,item_link
0,Zella Live In High Waist Pocket 7/8 Leggings,$35.40,[],https://shop.nordstrom.com/s/zella-live-in-high-waist-pocket-7-8-leggings/5538407?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=black
1,UGG® Classic Mini Fluff Genuine Shearling Bootie (Women),$89.90,"['CHESTNUT', 'BLACK', 'CHARCOAL']",https://shop.nordstrom.com/s/ugg-classic-mini-fluff-genuine-shearling-bootie-women/5324753?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=chestnut
2,Free People Softly Structured Knit Tunic,$88.80,"['BLACK', 'CHARCOAL HEATHER', 'OATMEAL HEATHER', 'DEEP JADE', 'TOBACCO']",https://shop.nordstrom.com/s/free-people-softly-structured-knit-tunic/5046275?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=black
3,Zella Live In High Waist Leggings,$35.40,[],https://shop.nordstrom.com/s/zella-live-in-high-waist-leggings/5538340?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=green%20ponderosa
4,Vince Camuto Gigietta Bootie (Women),$99.90,[],https://shop.nordstrom.com/s/vince-camuto-gigietta-bootie-women/5244728?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=foxy%20suede
5,Free People Easy Street Tunic,$76.80,[],https://shop.nordstrom.com/s/free-people-easy-street-tunic/5285638?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=limon
6,UGG® Aureo II Waterproof Bootie (Women),$83.90,"['PINEWOOD NUBUCK', 'CHESTNUT SUEDE', 'SLATE SUEDE', 'BLACK NUBUCK']",https://shop.nordstrom.com/s/ugg-aureo-ii-waterproof-bootie-women/5319359?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=pinewood%20nubuck
7,Zella Mix It Up Faux Shearling Half-Zip Pullover,$39.49,"['BEIGE RAINY DAY', 'PURPLE TAUPE', 'GREY FORGED']",https://shop.nordstrom.com/s/zella-mix-it-up-faux-shearling-half-zip-pullover/5367105?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=beige%20rainy%20day
8,Sam Edelman Hooded Puffer Jacket,$89.99,[],https://shop.nordstrom.com/s/sam-edelman-hooded-puffer-jacket/5270244?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=moss
9,Madewell Whisper Cotton V-Neck Pocket Tee (Regular & Plus Size),$15.60,[],https://shop.nordstrom.com/s/madewell-whisper-cotton-v-neck-pocket-tee-regular-plus-size/5521848?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=provence%20grape
10,Topshop Cuba Platform Sneaker (Women),$26.98 – $32.98,"['WHITE MULTI', 'BLACK MULTI', 'BROWN MULTI']",https://shop.nordstrom.com/s/topshop-cuba-platform-sneaker-women/5545102?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=white%20multi
11,Zella Live in Pocket 7/8 Maternity Leggings,$38.90,[],https://shop.nordstrom.com/s/zella-live-in-pocket-7-8-maternity-leggings/5236786?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=black
12,BP. Lace Trim Satin Camisole Top,$23.40,"['BLACK SKETCHY DOT', 'BLACK', 'BEIGE BIRCH LEOPARD DASH']",https://shop.nordstrom.com/s/bp-lace-trim-satin-camisole-top/4557318?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=black%20sketchy%20dot
13,Caslon® Turtleneck Tunic Sweater,$41.40,"['BLACK', 'BEIGE OATMEAL LIGHT HEATHER', 'GREY HEATHER', 'RED CORDOVAN', 'TEAL DEEP']",https://shop.nordstrom.com/s/caslon-turtleneck-tunic-sweater/5264040?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=black
14,BLANKNYC Record Breaker Collarless Faux Leather Moto Jacket (Regular & Plus Size),$48.98 – $58.80,"['MOONLIGHTING/ BLACK', 'FAWN']",https://shop.nordstrom.com/s/blanknyc-record-breaker-collarless-faux-leather-moto-jacket-regular-plus-size/5270861?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=moonlighting%2F%20black
15,Nordstrom Moonlight Pajamas,$35.40,"['GREY SPACEDYE', 'BLACK']",https://shop.nordstrom.com/s/nordstrom-moonlight-pajamas/5545101?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=grey%20spacedye
16,Halogen® V-Neck Cashmere Sweater,$49.00,[],https://shop.nordstrom.com/s/halogen-v-neck-cashmere-sweater/5210616?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=oatmeal
17,Free People North Shore Thermal Knit Tunic Top,$40.80,"['SAND', 'CORAL', 'STORM GREY', 'RED', 'TURQUOISE']",https://shop.nordstrom.com/s/free-people-north-shore-thermal-knit-tunic-top/5537945?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=sand
18,Cole Haan Hooded Down & Feather Jacket,$109.00,[],https://shop.nordstrom.com/s/cole-haan-hooded-down-feather-jacket/4710006?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=cashew
19,UGG® Dakota Water Resistant Genuine Shearling Pompom Slipper (Women),$69.90,"['CHESTNUT SUEDE', 'SEAL']",https://shop.nordstrom.com/s/ugg-dakota-water-resistant-genuine-shearling-pompom-slipper-women/4631936?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=chestnut%20suede
20,Hunter Original Tour Gloss Packable Rain Boot (Women),$75.00 – $99.90,"['DARK SLATE', 'BLACK']",https://shop.nordstrom.com/s/hunter-original-tour-gloss-packable-rain-boot-women/3924609?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=dark%20slate
