,item,macys_price_x,macys_link_x,nm_price_x,nm_link_x,macys_price_y,macys_link_y,nordstrom_price_x,nordstrom_link_x,nm_price_y,nm_link_y,nordstrom_price_y,nordstrom_link_y
0,samedelmanjenniferstuddedcombatboots,$119.00,https://www.macys.com/shop/product/sam-edelman-jennifer-studded-combat-boots?ID=10316891&CategoryID=56233,$170,https://www.neimanmarcus.com/p/sam-edelman-jennifer-studded-combat-boots-prod224900447?childItemId=NMX4UX3_&navpath=cat000000_cat000141_cat47190746&page=17&position=101&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_qEIuJqrskt7ppjOAlJYOjN4Arqmt2w20Ra7CGdHt.jsession,,,,,,,,
1,jackrogersgemmalaceupbooties,$178.00,https://www.macys.com/shop/product/jack-rogers-gemma-lace-up-booties?ID=10336937&CategoryID=56233,$178,https://www.neimanmarcus.com/p/jack-rogers-gemma-lace-up-booties-prod227190257?childItemId=NMX4Y2R_&navpath=cat000000_cat000141_cat47190746&page=7&position=1&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pzaA85hLEMSj-B79gaCpARI3apZnq3XKpBocFVUX.jsession,,,,,,,,
2,jackrogersgemmalaceupbooties,$178.00,https://www.macys.com/shop/product/jack-rogers-gemma-lace-up-booties?ID=10488626&CategoryID=56233,$178,https://www.neimanmarcus.com/p/jack-rogers-gemma-lace-up-booties-prod227190257?childItemId=NMX4Y2R_&navpath=cat000000_cat000141_cat47190746&page=7&position=1&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pzaA85hLEMSj-B79gaCpARI3apZnq3XKpBocFVUX.jsession,,,,,,,,
3,jackrogersgemmatallheeledboots,$198.00,https://www.macys.com/shop/product/jack-rogers-gemma-tall-heeled-boots?ID=9673738&CategoryID=56233,$198,https://www.neimanmarcus.com/p/jack-rogers-gemma-tall-heeled-boots-prod227190628?childItemId=NMX4Y2B_&navpath=cat000000_cat000141_cat47190746&page=6&position=25&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FswTkuPnE9ynzbwz1b-tbgW29Wlq55ttYoRT9gcj.jsession,,,,,,,,
4,fryeveronicabeltedshortbooties,$328.00,https://www.macys.com/shop/product/frye-veronica-belted-short-booties?ID=10412033&CategoryID=56233,$328,https://www.neimanmarcus.com/p/frye-veronica-belted-short-booties-prod224630010?childItemId=NMX4ULF_&navpath=cat000000_cat000141_cat47190746&page=15&position=79&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_8_PWa-KNOyqUi4JnejSxytE5WaTwVskemQQSBvq2.jsession,,,,,,,,
5,jackrogersgemmasuedeheeledbooties,$178.00,https://www.macys.com/shop/product/jack-rogers-gemma-suede-heeled-booties?ID=10336936&CategoryID=56233,$178,https://www.neimanmarcus.com/p/jack-rogers-gemma-suede-heeled-booties-prod227190079?childItemId=NMX4Y2A_&navpath=cat000000_cat000141_cat47190746&page=7&position=0&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pzaA85hLEMSj-B79gaCpARI3apZnq3XKpBocFVUX.jsession,,,,,,,,
6,jackrogersgemmasuedeheeledbooties,$178.00,https://www.macys.com/shop/product/jack-rogers-gemma-suede-heeled-booties?ID=10383247&CategoryID=56233,$178,https://www.neimanmarcus.com/p/jack-rogers-gemma-suede-heeled-booties-prod227190079?childItemId=NMX4Y2A_&navpath=cat000000_cat000141_cat47190746&page=7&position=0&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pzaA85hLEMSj-B79gaCpARI3apZnq3XKpBocFVUX.jsession,,,,,,,,
7,jackrogersbeatrixjeweledsuedebooties,$188.00,https://www.macys.com/shop/product/jack-rogers-beatrix-jeweled-suede-booties?ID=10365196&CategoryID=56233,$188,https://www.neimanmarcus.com/p/jack-rogers-beatrix-jeweled-suede-booties-prod227190825?childItemId=NMX4Y2H_&navpath=cat000000_cat000141_cat47190746&page=6&position=27&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FswTkuPnE9ynzbwz1b-tbgW29Wlq55ttYoRT9gcj.jsession,,,,,,,,
8,jackrogerselizasuedemotobooties,$178.00,https://www.macys.com/shop/product/jack-rogers-eliza-suede-moto-booties?ID=9673739&CategoryID=56233,$178,https://www.neimanmarcus.com/p/jack-rogers-eliza-suede-moto-booties-prod227190080?childItemId=NMX4Y2Y_&navpath=cat000000_cat000141_cat47190746&page=6&position=15&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FswTkuPnE9ynzbwz1b-tbgW29Wlq55ttYoRT9gcj.jsession,,,,,,,,
9,jackrogersronniesliponsneakers,$118.00,https://www.macys.com/shop/product/jack-rogers-ronnie-slip-on-sneakers?ID=10386384&CategoryID=56233,$118,https://www.neimanmarcus.com/p/jack-rogers-ronnie-slip-on-sneakers-prod227480006?childItemId=NMX4YAX_&navpath=cat000000_cat000141_cat47190746&page=1&position=62&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_ctmOvKPrpB1fyunEmoloPm3mGivFGPbsi8CNvrmP.jsession,,,,,,,,
